ServiceDescription,UsageCost,NegotiatedSavings,SavingsPrograms,OtherSavings,SubTotal,ChangeRate
Artifact Registry,17.604135,-0.006254,0,-6.508887,11.088994,1%
AutoMQ for Kafka (BYOC Console),0,0,0,0,0,0%
Backup and DR Service,5.508955,-0.44118,0,-0.253705,4.81407,689%
Backup for GKE,3647.785167,-291.823481,0,-167.798897,3188.162789,177%
BigQuery,7.352084,-0.735361,0,-0.330849,6.285874,18%
Certificate Manager,0,0,0,-0.000032,-0.000032,0%
Cloud DNS,1.806267,-0.1523,0,-0.153161,1.500806,97%
Cloud Filestore,9057.252282,-741.495949,0,-672.06199,7643.694343,104%
Cloud Logging,24286.491405,-239.107729,0,-7309.790415,16737.5932610001,81%
Cloud Memorystore for Redis,56508.0579219999,-5342.8225209999,0,-8763.186451,42402.04895,53%
Cloud Monitoring,5626.317585,-448.664868,0,-322.755307,4854.89741,200%
Cloud Run,0.209726,-0.016894,-0.131312,-0.192832,-0.131312,-0%
Cloud SQL,67667.8872169999,-6321.542827,-254.1,-9107.197253,51985.0471369999,45%
Cloud Scheduler,0,0,0,0,0,0%
Cloud Speech API,0,0,0,0,0,
Cloud Storage,5941.10532,-581.99484,0,-327.396685,5031.713795,195%
Cloud Trace,446.734254,-42.164465,0,-80.494801,324.074988,23%
Compute Engine,1034601.0983629995,-57562.2883510027,-223695.9634380003,-142087.9348580005,611254.9117159961,39%
Dataplex,0,0,0,0.000115,0.000115,0%
Gemini API,52.359205,0,0,0,52.359205,-99%
Invoice,8551.259758,0,0,-8551.259826,-0.000068,0%
Kubernetes Engine,1980.791743,0,0,-655.358057,1325.433686,54%
Managed Service for Apache Kafka,0.054767,-0.004464,0,-0.002495,0.047808,150%
Networking,130581.1195080006,-9579.4927220004,0,-25269.559838,95732.0669480002,46%
Support,5126.091793,0.000001,0,0,5126.091794,156%
Translate,75.27138,-6.023916,0,-31.962382,37.285082,66%
VM Manager,86.925,-6.2895,0,-80.635499,0.000001,0%
Vertex AI,192526.5063649996,-20914.1090690005,0,-77280.4863580001,94331.9109379991,57%
